Year,Host,Countries,Gold,Silver,Bronze,Medal Rank,Score Rank,Notes
2025,Bolivia,84,1.0,2.0,1.0,8.0,8.0,
2024,Egypt,91,1.0,2.0,1.0,9.0,10.0,
2023,Hungary,87,1.0,3.0,0.0,6.0,10.0,
2022,Indonesia,88,2.0,1.0,0.0,7.0,8.0,
2021,Singapore,88,1.0,3.0,0.0,7.0,6.0,
2020,Singapore,87,3.0,1.0,0.0,2.0,4.0,
2019,Azerbaijan,87,1.0,3.0,0.0,7.0,4.0,
2018,Japan,87,1.0,2.0,1.0,9.0,15.0,
2017,Iran,82,1.0,3.0,0.0,7.0,4.0,
2016,Russia,80,2.0,2.0,0.0,4.0,3.0,
2015,Kazakhstan,83,2.0,1.0,1.0,6.0,6.0,
2014,Taiwan,81,2.0,2.0,0.0,3.0,6.0,
2013,Australia,77,1.0,2.0,1.0,7.0,6.0,
2012,Italy,81,2.0,2.0,0.0,5.0,8.0,
2011,Thailand,78,0.0,3.0,1.0,17.0,13.0,
2010,Canada,80,1.0,2.0,1.0,10.0,12.0,
2009,Bulgaria,78,1.0,3.0,0.0,9.0,8.0,
2008,Egypt,78,,,,,,ویزا صادر نشد
2007,Croatia,77,1.0,3.0,0.0,8.0,9.0,
2006,Mexico,74,1.0,2.0,1.0,9.0,7.0,
2005,Poland,72,0.0,2.0,2.0,15.0,13.0,
2004,Greece,76,1.0,3.0,0.0,6.0,5.0,
2003,United States,78,,,,,,ویزا صادر نشد
2002,South Korea,78,1.0,2.0,1.0,7.0,11.0,
2001,Finland,74,1.0,1.0,2.0,11.0,13.0,
2000,China,72,2.0,1.0,1.0,3.0,6.0,
1999,Turkey,65,1.0,2.0,1.0,6.0,6.0,
1998,Portugal,68,0.0,4.0,0.0,14.0,6.0,
1997,South Africa,63,0.0,3.0,1.0,17.0,7.0,
1996,Hungary,57,1.0,2.0,1.0,5.0,8.0,
1995,Netherlands,51,0.0,2.0,3.0,14.0,5.0,5 شرکت کننده
1994,Sweden,49,0.0,1.0,2.0,18.0,14.0,
1993,Argentina,43,1.0,2.0,1.0,4.0,4.0,
1992,Germany,51,0.0,2.0,2.0,9.0,9.0,
