year,team_member_1,team_member_2,team_member_3,team_member_4
2026,🥈 حامد غفاری اقدس,🥈 آرش استادشریف معمار,🥉 محمد شایان,بهامین شفقی
2025,🥇 امیرعلی عسگری,🥈 مانی زارع,🥈 حامد غفاری اقدس,🥉 کیارش رضایی
2024,🥇 امیرعلی عسگری,🥈 امیرحسین فرخنده فر,🥈 امیررضا درستی,🥉 پارسا فرج پورسرابی
2023,🥇 پارسا پردلی بهروز,🥈 سهیل محمدخانی,🥈 فاطمه طامهری,🥈 امیرحسین وحیدی تبار
2022,🥇 کوشا موسوی,🥇 علیرضا کاویانی,🥈 علیرضا صمیمی,آریا همتی
2021,🥇 علیرضا کشاورز هدایتی,🥈 علیرضا کاویانی,🥈 علی صفری,🥈 علی شاه علی
2020,🥇 شایان پردیس,🥇 کسری مظاهری,🥇 علی صفری,🥈 ابوالفضل سلطانی
2019,🥇 مهدی جعفری راویز,🥈 ارشیا سلطانی مؤخر,🥈 سید مهرشاد میرمحمدی,🥈 کسری مظاهری
2018,🥇 محمد مهدوی,🥈 کیوان رضایی,🥈 مهرداد صابری کمرپشتی,🥉 سید مهدی صادق شبیری
2017,🥇 محمدحسین نعمت الهی,🥈 آرش محمودیان بیدگلی,🥈 محمد صانعیان,🥈 حمیدرضا هدایتی
2016,🥇 علی بهجتی,🥇 آرش محمودیان بیدگلی,🥈 امیرمحمد دهقان,🥈 سید پارسا میرطاهری
2015,🥇 علی حقانی,🥇 علی بهجتی,🥈 امیرکیوان محتشمی,🥉 پیمان جبارزاده گنجه
2014,🥇 محمدامین خشخاشی مقدم,🥇 امیرمحسن آهن چی,🥈 مجتبی فیاض بخش,🥈 ایلیاد رمضانی
2013,🥇 حامد ولی زاده طوسی,🥈 دانیال مهرجردی,🥈 کیوان علیزاده وحید,🥉 فرزاد عبدالحسینی
2012,🥇 سعید ایلچی قزآن,🥇 حامد ولی زاده طوسی,🥈 علیرضا فرهادی,🥈 محمدرضا ملکی
2011,🥈 مهران خلدی,🥈 سجاد جلالی,🥈 کسری عدالت نژاد خامنه,🥉 محمدرضا کسنوی
2010,🥇 علی بابایی چشمه,🥈 مهرداد طهماسبی,🥈 مهران خلدی,🥉 بهروز ربیعی
2009,🥇 علی بابایی چشمه,🥈 سهیل احسانی,🥈 فرشته خانی,🥈 پویا وحیدی فردوسی
2008,سعیدرضا صدیقین,پویا وحیدی فردوسی,سهیل احسانی بنافتی,ملیکا ابوالحسنی
2007,🥇 سپیده مهابادی,🥈 سعیدرضا صدیقین,🥈 سینا صادقیان,🥈 حسام الدین اخلاق پور
2006,🥇 وحید لیاقت,🥈 نیما احمدی پور اناری,🥈 شایان احسانی,🥉 حسام الدین اخلاق پور
2005,🥈 مهدی صفرنژاد بروجنی,🥈 محمد مهینی,🥉 علی ملک زاده,🥉 محمدامین صادقی
2004,🥇 شایان اویس قرن,🥈 آیدین نصیری شرق,🥈 حسین کفاش بخارایی,🥈 البرز مظلومیان
2003,کیان میرجلالی,مرتضی زادی مقدم,امین سیدی رشتخوار,محمد نوروزی
2002,🥇 محمد حسین باطنی,🥈 محمد محرمی,🥈 حامد احمدی نژاد,🥉 سیاوش بن عباس
2001,🥇 محمدهادی فروغمند اعرابی,🥈 مهران حیدرزاده,🥉 سما گلیایی,🥉 سعید علایی
2000,🥇 بهداد اسفهبد میرحسین زاده,🥇 علی شریفی زارچی,🥈 امید اعتصامی,🥉 حمید مهینی
1999,🥇 احسان فروغی,🥈 بهداد اسفهبد میرحسین زاده,🥈 محمود قندی,🥉 محمدحسین فرداد
1998,🥈 پویان خواجه پور تادوانی,🥈 شهاب اویس قرن,🥈 بهشاد بهزادی,🥈 ناصر فرامرزپور
1997,🥈 مهدی میرزازاده,🥈 مانا تقدیری,🥈 محمدتقی حاجی آقایی,🥉 سید بشیر سجاد
1996,🥇 روزبه پورنادر,🥈 احسان چینی فروشان,🥈 مهران مهر,🥉 امین صابری
1995,🥈 روزبه پورنادر,🥈 مهران مهر,🥉 بابک فرزاد,🥉 کامران باور
1994,🥈 مهدی فولادگر,🥉 یاشار گنجعلی گاوگانی,🥉 شادی رستمی حصارسرخ,محمدرضا صلواتی پور
1993,🥇 مهدی فولادگر,🥈 محمد مهدیان,🥈 علی ایرانلی,🥉 سعید بهزادی پور
1992,🥈 محمد مهدیان,🥈 سعید میرزایی بویینی,🥉 فرشاد رستم آبادی,🥉 کیومرث کاوه مریان
